Region,BLOCK.POS,Sample.ID,Family.Unique,Population,Dist.from.CG,Area,Length,Fresh mass,Dried mass,SLA,Leaf Dry Matter Content,Fluoresence,Chlorophyll.Content,Conductance
GL_Alvar,10-B7,MAN-LCI.13.10,MAN-LCI_13,MAN-LCI,1118.294,11.58,9.2,0.2344,0.1022,113.3072407,0.436006826,1.24,396,447.9
GL_Alvar,10-C3,NAP-SCH.14.10,NAP-SCH_14,NAP-SCH,1542.945,13.04,7.3,0.3136,0.1192,109.3959732,0.380102041,1.3,434,171.2
MB_Alvar,10-E12,MB-CRN.10.10,MB-CRN_10,MB-CRN,472.9779,7.99,7.5,0.2121,0.0926,86.28509719,0.436586516,NA,NA,260.2
MB_Alvar,10-I12,MB-CRN.2.10,MB-CRN_2,MB-CRN,472.9779,16.6,11.4,0.4077,0.1863,89.10359635,0.456953642,1.37,479,251.9
MB_Alvar,10-J15,MB-MR.2.10,MB-MR_2,MB-MR,487.3889,23,9.9,0.5911,0.25,92,0.422940281,1.4,498,227.3
Prairie,10-M13,MN-PMG.22,MN-PMG_NA,MN-PMG,101.3225,10.72,8.9,0.2517,0.121,88.59504132,0.480731029,1.3,434,379.6
GL_Alvar,10-M5,MI-DRI.13.10,MI-DRI_13,MI-DRI,979.8749,14.75,10.1,0.4304,0.1779,82.91174817,0.413336431,1.24,396,446.1
Prairie,10-N2,WA-BLK.22,WA-BLK_NA,WA-BLK,1558.248,5.04,4.4,0.0998,0.0505,99.8019802,0.506012024,1.38,485,NA
Prairie,11-C13,ND-BSP.22.11,ND-BSP_22,ND-BSP,1.896571,11.65,7.2,0.2804,0.1331,87.52817431,0.47467903,1.33,453,272.7
GL_Alvar,11-E16,WNY-CB.10.11,WNY-CB_10,WNY-CB,1612.813,15.28,9.4,0.3816,0.133,114.887218,0.348532495,1.43,517,229.8
Prairie,11-G14,SD-PMG.23,SD-PMG_NA,SD-PMG,184.0634,17.11,10.9,0.3652,0.1855,92.23719677,0.507940854,1.51,568,645.9
GL_Alvar,11-G15,MAN-MIS.20.11,MAN-MIS_20,MAN-MIS,1056.428,10.03,7.8,0.2149,0.0875,114.6285714,0.407166124,1.42,511,262.7
GL_Alvar,11-I7,MAN-LCI.11.11,MAN-LCI_11,MAN-LCI,1118.294,16.61,8.6,0.3966,0.1627,102.0897357,0.410237015,1.24,396,222.2
GL_Alvar,11-J3,NAP-CE.24.11,NAP-CE_24,NAP-CE,1551.28,11.34,11.1,0.2527,0.1214,93.41021417,0.480411555,1.15,339,242.9
GL_Alvar,11-K12,MAN-FOX.22.11,MAN-FOX_22,MAN-FOX,1068.226,16.97,10.3,0.4379,0.1987,85.40513337,0.453756565,1.31,441,584.7
Prairie,11-K5,SD-PMG.11,SD-PMG_NA,SD-PMG,184.0634,13.65,7.3,0.2854,0.1442,94.66019417,0.505255781,1.4,498,256.4
Prairie,11-L7,MN-PMG.11,MN-PMG_NA,MN-PMG,101.3225,10.3,8.4,0.326,0.1596,64.53634085,0.489570552,1.28,422,225.7
GL_Alvar,12-A12,CAR-NBA.21.12,CAR-NBA_21,CAR-NBA,1368.191,8.58,6.8,0.2259,0.1053,81.48148148,0.466135458,1.3,434,199.1
GL_Alvar,12-D10,NAP-ASS.25.12,NAP-ASS_25,NAP-ASS,1559.351,18.94,10.4,0.5308,0.2416,78.39403974,0.45516202,1.34,460,201.4
Prairie,12-D4,MN-PMG.12,MN-PMG_NA,MN-PMG,101.3225,8.35,7,0.2283,0.0997,83.75125376,0.436706088,1.42,511,507.2
GL_Alvar,12-F12,CAR-NBA.12.12,CAR-NBA_12,CAR-NBA,1368.191,18.94,11.9,0.5296,0.2267,83.54653727,0.428058912,1.28,422,253.3
MB_Alvar,12-G6,MB-MR.19.12,MB-MR_19,MB-MR,487.3889,15.93,9.5,0.4462,0.1947,81.81818182,0.436351412,1.45,530,128.5
GL_Alvar,12-I3,MI-DRI.24.12,MI-DRI_24,MI-DRI,979.8749,10.38,9.9,0.3134,0.1374,75.54585153,0.438417358,1.21,377,493.1
GL_Alvar,12-J12,WNY-CB.23.12,WNY-CB_23,WNY-CB,1612.813,20.81,12.9,0.555,0.2533,82.15554678,0.456396396,1.34,460,503
GL_Alvar,12-K12,MAN-KIP.28.12,MAN-KIP_28,MAN-KIP,1071.794,12.37,11.1,0.358,0.1367,90.49012436,0.381843575,1.19,364,347
GL_Alvar,12-K5,NAP-SCH.20.12,NAP-SCH_20,NAP-SCH,1542.945,17.11,11.2,0.412,0.1649,103.7598545,0.400242718,1.42,511,411.6
GL_Alvar,12-M10,MAN-KIP.11.12,MAN-KIP_11,MAN-KIP,1071.794,9.21,8.9,0.2278,0.0925,99.56756757,0.406057946,1.29,428,365.9
MB_Alvar,1-A12,MB-CRN.16.1,MB-CRN_16,MB-CRN,472.9779,11.03,9.5,0.311,0.1305,84.5210728,0.419614148,1.39,491,400.2
GL_Alvar,1-B2,MAN-LCI.2.1,MAN-LCI_2,MAN-LCI,1118.294,17.08,11.6,0.4533,0.1748,97.71167048,0.385616589,1.26,409,209.6
Prairie,1-E2,SD-PMG.13,SD-PMG_NA,SD-PMG,184.0634,10.62,7.8,0.4058,0.1558,68.16431322,0.383932972,1.25,403,308.3
Prairie,1-I15,MN-PMG.1,MN-PMG_NA,MN-PMG,101.3225,18.35,12.7,0.4716,0.2227,82.39784463,0.472222222,1.36,472,334.9
GL_Alvar,1-I16,NAP-ASS.11.1,NAP-ASS_11,NAP-ASS,1559.351,15.65,11.9,0.4044,0.1976,79.20040486,0.488625124,1.36,472,359
GL_Alvar,1-N13,NAP-CE.14.1,NAP-CE_14,NAP-CE,1551.28,24.86,12.4,0.7076,0.3483,71.37525122,0.492227247,1.25,403,629.6
Prairie,1-N16,AB-LL.13.1,AB-LL_13,AB-LL,1348.389,15.03,9.2,0.3455,0.1658,90.65138721,0.479884226,1.37,479,444.8
Prairie,1-N6,SD-MUD.1.1,SD-MUD_1,SD-MUD,234.4168,14.95,8.4,0.3683,0.1745,85.67335244,0.473798534,1.42,511,314.4
Prairie,2-B7,SD-MUD.18.2,SD-MUD_18,SD-MUD,234.4168,16.23,10.3,0.5703,0.2214,73.30623306,0.388216728,1.49,555,366.2
GL_Alvar,2-F8,MAN-LCI.12.2,MAN-LCI_12,MAN-LCI,1118.294,18.57,12.6,0.5872,0.229,81.09170306,0.389986376,1.43,517,332.7
GL_Alvar,2-G11,CAR-PSR.12.2,CAR-PSR_12,CAR-PSR,1366.181,9.11,7.5,0.1765,0.0773,117.8525226,0.43796034,1.37,479,256.3
GL_Alvar,2-I4,MAN-LCI.15.2,MAN-LCI_15,MAN-LCI,1118.294,13.91,10.9,0.4691,0.1849,75.22985398,0.394159028,1.39,491,435.8
GL_Alvar,2-J12,NAP-SCH.23.2,NAP-SCH_23,NAP-SCH,1542.945,15.56,9.8,0.4332,0.1801,86.39644642,0.415743306,1.36,472,514.1
GL_Alvar,2-J13,MAN-FOX.3.2,MAN-FOX_3,MAN-FOX,1068.226,24.64,16.2,0.8406,0.3756,65.60170394,0.446823697,1.33,453,467
Prairie,2-L4,SD-MUD.15.2,SD-MUD_15,SD-MUD,234.4168,19.85,10.8,0.4911,0.2212,89.73779385,0.45041743,1.54,587,356.7
GL_Alvar,2-L5,CAR-PSR.10.2,CAR-PSR_10,CAR-PSR,1366.181,13.97,9.7,0.362,0.1458,95.81618656,0.402762431,1.37,479,278.1
GL_Alvar,3-A10,MAN-FOX.18.3,MAN-FOX_18,MAN-FOX,1068.226,17.17,10.3,0.5972,0.2332,73.62778731,0.390488948,1.21,377,450
Prairie,3-A16,SD-MUD.19.3,SD-MUD_19,SD-MUD,234.4168,10.36,7.1,0.251,0.11,94.18181818,0.438247012,1.43,517,486.8
Prairie,3-B13,AB-LL.22.3,AB-LL_22,AB-LL,1348.389,8.91,6.8,0.2687,0.112,79.55357143,0.416821734,1.49,555,469.2
GL_Alvar,3-B8,MAN-KIP.15.3,MAN-KIP_15,MAN-KIP,1071.794,13.96,10.7,0.3895,0.1509,92.51159708,0.387419769,1.29,428,225.1
GL_Alvar,3-C8,MAN-MIS.11.3,MAN-MIS_11,MAN-MIS,1056.428,11.51,8.4,0.3489,0.1233,93.34955393,0.353396389,1.38,485,429.2
Prairie,3-D13,AB-LL.10.3,AB-LL_10,AB-LL,1348.389,12.36,7.9,0.2304,0.1166,106.0034305,0.506076389,1.42,511,452.3
GL_Alvar,3-D15,CAR-PSR.1.3,CAR-PSR_1,CAR-PSR,1366.181,22.18,13.9,0.4598,0.2265,97.92494481,0.492605481,1.31,441,529.4
GL_Alvar,3-E10,MAN-KIP.24.3,MAN-KIP_24,MAN-KIP,1071.794,12.03,8.7,0.2785,0.1324,90.86102719,0.47540395,1.23,390,210.8
GL_Alvar,3-E14,CAR-NBA.1.3,CAR-NBA_1,CAR-NBA,1368.191,18.23,9,0.374,0.1564,116.5601023,0.418181818,1.15,339,425.6
Prairie,3-G12,SD-PMG.15,SD-PMG_NA,SD-PMG,184.0634,18.35,12.7,0.3559,0.1989,92.25741579,0.55886485,1.42,511,544.7
Prairie,3-G14,ND-BSP.25.3,ND-BSP_25,ND-BSP,1.896571,35.85,16.7,0.9614,0.4677,76.65169981,0.486478053,1.42,511,638.7
GL_Alvar,3-H15,CAR-PSR.14.3,CAR-PSR_14,CAR-PSR,1366.181,13.29,11.6,0.2578,0.119,111.6806723,0.461598138,1.38,485,455
GL_Alvar,3-J16,CAR-PSR.20.3,CAR-PSR_20,CAR-PSR,1366.181,21.29,12.7,0.4138,0.1864,114.2167382,0.450459159,1.37,479,470.4
MB_Alvar,3-L3,MB-MR.21.3,MB-MR_21,MB-MR,487.3889,12.28,8.3,0.3098,0.1201,102.2481266,0.387669464,1.34,460,612
