Sample_ID,Family_Unique,Population,Family_NonUnique,Replicate,HabitatType,Region,Type,Major_Sinus_YN,Sinus_Depth,Mid_Vein_Length,Mini_Leaflets_YN,MiniLeaflet_Lobed_YN,Roundness_Lobes(1-3),Opposite_Leaflets_YN,Analyser,Avg.Leaf.Area
CAR-NBA.1.1,CAR-NBA_1,CAR-NBA,1,1,Alvar,GL_Alvar,3,1,1.76,5.52,1,1,2,0,Stephen,NA
CAR-NBA.1.10,CAR-NBA_1,CAR-NBA,1,10,Alvar,GL_Alvar,3,1,1.16,3.47,1,0,3,1,Stephen,NA
CAR-NBA.1.11,CAR-NBA_1,CAR-NBA,1,11,Alvar,GL_Alvar,3,1,1.45,5.3,1,1,2,1,Stephen,NA
CAR-NBA.1.12,CAR-NBA_1,CAR-NBA,1,12,Alvar,GL_Alvar,3,1,1.37,5.98,1,0,2,1,Stephen,NA
CAR-NBA.1.2,CAR-NBA_1,CAR-NBA,1,2,Alvar,GL_Alvar,3,1,1.36,4.16,1,0,2,0,Stephen,NA
CAR-NBA.1.3,CAR-NBA_1,CAR-NBA,1,3,Alvar,GL_Alvar,3,1,1.48,6.16,1,0,1,0,Stephen,NA
CAR-NBA.1.4,CAR-NBA_1,CAR-NBA,1,4,Alvar,GL_Alvar,3,1,1.92,7.11,1,1,1,1,Stephen,NA
CAR-NBA.1.5,CAR-NBA_1,CAR-NBA,1,5,Alvar,GL_Alvar,2,1,2.25,9.3,1,1,2,1,Stephen,NA
CAR-NBA.1.6,CAR-NBA_1,CAR-NBA,1,6,Alvar,GL_Alvar,3,1,1.33,4.67,1,0,2,2,Stephen,NA
CAR-NBA.1.9,CAR-NBA_1,CAR-NBA,1,9,Alvar,GL_Alvar,3,1,1.45,5.57,1,0,2,2,Stephen,NA
CAR-NBA.10.1,CAR-NBA_10,CAR-NBA,10,1,Alvar,GL_Alvar,3,1,1.05,4.83,0,NA,1,0,Stephen,NA
CAR-NBA.10.10,CAR-NBA_10,CAR-NBA,10,10,Alvar,GL_Alvar,3,1,1.6,4.69,1,0,3,1,Stephen,NA
CAR-NBA.10.2,CAR-NBA_10,CAR-NBA,10,2,Alvar,GL_Alvar,3,1,1.2,4.23,1,0,2,1,Stephen,NA
CAR-NBA.10.3,CAR-NBA_10,CAR-NBA,10,3,Alvar,GL_Alvar,3,1,1.21,5.01,0,NA,3,1,Stephen,NA
CAR-NBA.10.5,CAR-NBA_10,CAR-NBA,10,5,Alvar,GL_Alvar,3,1,1.78,5.62,1,0,1,1,Stephen,NA
CAR-NBA.11.1,CAR-NBA_11,CAR-NBA,11,1,Alvar,GL_Alvar,3,1,1.33,4.26,0,NA,2,1,Stephen,NA
CAR-NBA.11.10,CAR-NBA_11,CAR-NBA,11,10,Alvar,GL_Alvar,3,1,1.25,4.51,1,0,2,1,Stephen,NA
CAR-NBA.11.11,CAR-NBA_11,CAR-NBA,11,11,Alvar,GL_Alvar,3,1,1.49,6.66,1,0,3,1,Stephen,NA
CAR-NBA.11.12,CAR-NBA_11,CAR-NBA,11,12,Alvar,GL_Alvar,3,1,1.56,5.36,1,0,3,1,Stephen,NA
CAR-NBA.11.2,CAR-NBA_11,CAR-NBA,11,2,Alvar,GL_Alvar,3,1,2.12,5.4,0,NA,2,1,Stephen,NA
CAR-NBA.11.3,CAR-NBA_11,CAR-NBA,11,3,Alvar,GL_Alvar,3,1,1.09,4.77,1,0,2,2,Stephen,NA
CAR-NBA.11.5,CAR-NBA_11,CAR-NBA,11,5,Alvar,GL_Alvar,2,1,1.12,5.87,1,0,3,1,Stephen,NA
CAR-NBA.11.7,CAR-NBA_11,CAR-NBA,11,7,Alvar,GL_Alvar,3,1,1.49,4.88,1,1,3,1,Stephen,NA
CAR-NBA.11.8,CAR-NBA_11,CAR-NBA,11,8,Alvar,GL_Alvar,3,1,1.11,4.2,0,NA,3,1,Stephen,NA
CAR-NBA.11.9,CAR-NBA_11,CAR-NBA,11,9,Alvar,GL_Alvar,3,1,1.29,4.72,1,0,3,1,Stephen,NA
CAR-NBA.12.1,CAR-NBA_12,CAR-NBA,12,1,Alvar,GL_Alvar,3,1,1.62,7.39,1,1,2,1,Stephen,NA
CAR-NBA.12.10,CAR-NBA_12,CAR-NBA,12,10,Alvar,GL_Alvar,3,1,1.75,6.09,1,0,2,2,Stephen,NA
CAR-NBA.12.11,CAR-NBA_12,CAR-NBA,12,11,Alvar,GL_Alvar,2,1,1.25,5.17,0,NA,3,1,Stephen,NA
CAR-NBA.12.12,CAR-NBA_12,CAR-NBA,12,12,Alvar,GL_Alvar,3,1,1.53,5.5,1,0,3,1,Stephen,NA
CAR-NBA.12.2,CAR-NBA_12,CAR-NBA,12,2,Alvar,GL_Alvar,3,1,1.12,3.51,1,0,3,1,Stephen,NA
CAR-NBA.12.3,CAR-NBA_12,CAR-NBA,12,3,Alvar,GL_Alvar,3,1,1.86,7.06,1,0,3,1,Stephen,NA
CAR-NBA.12.5,CAR-NBA_12,CAR-NBA,12,5,Alvar,GL_Alvar,3,1,1.38,5.33,1,0,3,1,Stephen,NA
CAR-NBA.12.7,CAR-NBA_12,CAR-NBA,12,7,Alvar,GL_Alvar,3,1,1.66,5.26,1,0,3,2,Stephen,NA
CAR-NBA.12.8,CAR-NBA_12,CAR-NBA,12,8,Alvar,GL_Alvar,3,1,1.38,5.83,1,0,3,2,Stephen,NA
CAR-NBA.12.9,CAR-NBA_12,CAR-NBA,12,9,Alvar,GL_Alvar,3,1,0.98,4.33,1,0,3,1,Stephen,NA
CAR-NBA.13.1,CAR-NBA_13,CAR-NBA,13,1,Alvar,GL_Alvar,3,1,1.45,3.87,0,NA,2,1,Stephen,NA
CAR-NBA.13.10,CAR-NBA_13,CAR-NBA,13,10,Alvar,GL_Alvar,3,1,1.21,5.2,1,0,2,1,Stephen,NA
CAR-NBA.13.11,CAR-NBA_13,CAR-NBA,13,11,Alvar,GL_Alvar,3,1,1.32,6.14,1,0,3,1,Stephen,NA
CAR-NBA.13.12,CAR-NBA_13,CAR-NBA,13,12,Alvar,GL_Alvar,3,1,1.09,5.69,1,1,2,1,Stephen,NA
CAR-NBA.13.2,CAR-NBA_13,CAR-NBA,13,2,Alvar,GL_Alvar,3,1,1.4,5.75,1,0,2,0,Stephen,NA
CAR-NBA.13.3,CAR-NBA_13,CAR-NBA,13,3,Alvar,GL_Alvar,3,1,1.45,5.47,1,0,3,1,Stephen,NA
CAR-NBA.13.4,CAR-NBA_13,CAR-NBA,13,4,Alvar,GL_Alvar,2,1,1.29,5.97,1,0,3,2,Stephen,NA
CAR-NBA.13.5,CAR-NBA_13,CAR-NBA,13,5,Alvar,GL_Alvar,3,1,1.81,6.75,1,0,3,1,Stephen,NA
CAR-NBA.13.6,CAR-NBA_13,CAR-NBA,13,6,Alvar,GL_Alvar,3,1,1.58,6.99,1,0,2,1,Stephen,NA
CAR-NBA.13.7,CAR-NBA_13,CAR-NBA,13,7,Alvar,GL_Alvar,3,1,1.1,6.18,1,0,2,1,Stephen,NA
CAR-NBA.13.8,CAR-NBA_13,CAR-NBA,13,8,Alvar,GL_Alvar,2,1,1.31,6.77,1,0,3,1,Stephen,NA
CAR-NBA.13.9,CAR-NBA_13,CAR-NBA,13,9,Alvar,GL_Alvar,3,1,0.97,4.91,1,0,3,1,Stephen,NA
CAR-NBA.21.1,CAR-NBA_21,CAR-NBA,21,1,Alvar,GL_Alvar,3,1,1.07,3.38,1,0,2,1,Stephen,NA
CAR-NBA.21.10,CAR-NBA_21,CAR-NBA,21,10,Alvar,GL_Alvar,3,1,1.05,5.17,1,0,2,1,Stephen,NA
CAR-NBA.21.11,CAR-NBA_21,CAR-NBA,21,11,Alvar,GL_Alvar,3,1,1.37,4.66,1,0,3,1,Stephen,NA
CAR-NBA.21.12,CAR-NBA_21,CAR-NBA,21,12,Alvar,GL_Alvar,3,1,0.86,4.04,1,0,2,1,Stephen,NA
CAR-NBA.21.2,CAR-NBA_21,CAR-NBA,21,2,Alvar,GL_Alvar,3,1,0.99,2.98,0,NA,1,1,Stephen,NA
CAR-NBA.21.3,CAR-NBA_21,CAR-NBA,21,3,Alvar,GL_Alvar,3,1,0.93,3.57,1,0,3,1,Stephen,NA
CAR-NBA.21.5,CAR-NBA_21,CAR-NBA,21,5,Alvar,GL_Alvar,3,1,1.44,4.25,1,0,2,1,Stephen,NA
