Source,Region,Average of dC13,Average of SLA,Average of Leaf.Dry.Matter.Content,Average of Chlorophyll.Content,Average of Conductance,Average of Av_GCLengthB,Average of Av_GCLengthT,Average of Density_B,Average of Density_T,Average of SAI_B,Average of SAI_T,Average of Sinus_Depth,Average of Mid_Vein_Length,Average of Mini_Leaflets_YN,Average of MiniLeaflet_Lobed_YN,Dist.from.CG,Latitude,Longitude,Elevation.m,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH
AB-HSC,Prairie,-30.37,91.13553114,0.414264036,491,160.5,NA,NA,NA,NA,NA,NA,0.733333333,2.703333333,0.666666667,0.5,1070.778,49.636389,-110.33,721,4,17.1,0.9,26.2,382,240,36.6,71.3,1013,1463,5136,289,155,148,249,100,90,-41.5,37.1,668,374,11.6,53
AB-LL,Prairie,-29.801,93.6466136,0.46911685,515.8,475.9,0.028141026,0.02808718,165.2644231,122.6963141,4.589676811,3.395332532,1.237641509,5.103301887,0.924528302,0.204081633,1348.389,49.543611,-114.247222,929,4.2,15.6,-8.3,23.9,498,271,28.5,57.7,855,1334,5043,36,159,149,251,102,141,0.4,34.9,626,283,13.4,55
AB-RL,Prairie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.665278,-110.1075,721,4.6,18.7,-10.1,28.8,348,216,41.8,86.2,1060,1689,4987,118,159,144,250,105,83,-42.2,38.5,707,445,12.8,51
AB-RO,Prairie,-30.34,80.45308448,0.47644648,472.5,280.3,NA,NA,NA,NA,NA,NA,0.925,3.246666667,0.833333333,0.2,1058.689,49.671944,-110.147222,721,4.7,18.6,-9.7,28.4,366,227,40,81.9,1037,1698,4949,117,162,142,250,108,84,-42.5,38.4,705,427,12.5,52
CAR-NBA,GL_Alvar,-29.47916667,95.74096209,0.432850534,421.6666667,394.2166667,0.025855856,0.024990991,285.7730263,217.9276316,7.341051964,5.475319054,1.359789474,5.138210526,0.905263158,0.162790698,1368.191,44.68502,-79.05154,268,5.7,19.2,-9.1,28.2,911,398,17.2,48.2,904,1887,4611,149,167,139,273,134,258,-35.5,35.6,689,175,13.5,63
CAR-PSR,GL_Alvar,-29.532,107.4982129,0.44907711,472.6,397.84,0.0265625,0.024875,318.1966146,197.6799242,8.357340491,4.989691836,1.346533333,5.250266667,0.946666667,0.267605634,1366.181,44.64526,-79.09458,250,5.8,19.3,-8.8,28.1,899,393,17.6,49,875,1913,4558,156,169,138,273,135,249,-35.2,35.6,692,183,13.5,63
MAN-FOX,GL_Alvar,-29.48,79.48146284,0.441754601,428,480.58,0.027135802,0.027393939,230.0347222,165.307971,6.245338227,4.479955792,1.165757576,5.075353535,0.888888889,0.352272727,1068.226,45.89713,-82.57893,186,5,18.7,-9.7,28.4,831,364,18.1,51.4,969,1751,4811,120,173,140,276,136,241,-35.3,34.8,614,171,12.9,66
MAN-KIP,GL_Alvar,-29.392,93.93921552,0.423048855,406.4,284.06,0.02631579,0.025588235,270.6962719,168.1219363,7.109489227,4.281811677,1.172142857,5.01255102,0.928571429,0.340659341,1071.794,45.87036,-82.53938,183,5.1,18.8,-9.7,28.4,827,360,18.2,52.2,961,1763,4790,124,174,140,276,136,239,-35.2,34.8,615,177,12.9,66
MAN-LCI,GL_Alvar,-28.68,93.88604078,0.403201167,441.8,329.64,0.027555556,0.026578947,250.0667735,160.3618421,6.859419527,4.246162277,1.3025,5.251447368,0.934210526,0.338028169,1118.294,45.99426,-81.89436,182,4.6,18.2,-10.3,28.4,835,369,17.5,49.1,1026,1674,4941,98,166,143,273,130,254,-36.4,34.5,618,168,12.8,64
MAN-MIS,GL_Alvar,-28.94533333,93.75517966,0.422241883,491.4,374.24,0.027655914,0.027796296,270.077285,183.7384259,7.452817007,5.068238824,1.335531915,4.986382979,0.946808511,0.337078652,1056.428,45.80825,-82.75912,193,5.2,18.8,-9.2,28,822,369,18.5,50.9,929,1758,4760,122,173,139,276,136,226,-34.8,34.6,613,164,12.9,66
MB-CRN,MB_Alvar,-29.471,86.20678332,0.455948622,510.5,314.24,0.026896825,0.026260163,231.3468992,193.1423611,6.201740251,5.033134318,1.296206897,4.822988506,0.873563218,0.118421053,472.9779,51.070942,-97.461336,231,0.2,17.4,-20.7,38.1,540,332,18.9,52.3,2182,1375,6515,60,125,156,250,94,163,0.47,37.3,617,225,12.6,52
