,Region,Population,Sample.ID,dC13,d15N,BLOCK.POS.x,Dist.from.CG,SLA,Leaf.Dry.Matter.Content,Chlorophyll.Content,Conductance,Ratio,Av_GCLengthB,Av_GCLengthT,Av_GCLength,Density_B,Density_T,SAI_B,SAI_T,Sinus_Depth,Mid_Vein_Length,Avg.Leaf.Area
1,GL_Alvar,CAR-NBA,CAR-NBA.1.3,-29.6,0.18,3-E14,1368.191,116.5601023,0.418181818,339,425.6,1,0.024333333,0.023333333,0.023833333,221.3541667,221.3541667,5.386284648,5.164930482,1.48,6.16,NA
2,GL_Alvar,CAR-NBA,CAR-NBA.10.5,-29.05,0.05,5-J2,1368.191,95.60878244,0.452064065,447,467.9,0.9,0.022666667,0.025,0.023833333,390.625,351.5625,8.854166797,8.7890625,1.78,5.62,NA
3,GL_Alvar,CAR-NBA,CAR-NBA.11.7,-30.55,-0.19,7-M13,1368.191,101.3605442,0.402061856,422,589.3,NA,NA,NA,NA,NA,NA,NA,NA,1.49,4.88,NA
4,GL_Alvar,CAR-NBA,CAR-NBA.12.12,-29.02,-0.06,12-F12,1368.191,83.54653727,0.428058912,422,253.3,NA,NA,NA,NA,NA,NA,NA,NA,1.53,5.5,NA
5,GL_Alvar,CAR-NBA,CAR-NBA.13.7,-29.45,0.96,7-K13,1368.191,95.88832487,0.430601093,466,430.1,NA,NA,NA,NA,NA,NA,NA,NA,1.1,6.18,NA
6,GL_Alvar,CAR-NBA,CAR-NBA.21.12,-29.205,1.825,12-A12,1368.191,81.48148148,0.466135458,434,199.1,NA,NA,NA,NA,NA,NA,NA,NA,0.86,4.04,NA
7,GL_Alvar,CAR-NBA,CAR-NBA.1.2,NA,NA,NA,NA,NA,NA,NA,NA,0.818181818,0.025,0.024,0.0245,286.4583333,234.375,7.161458333,5.625,1.36,4.16,NA
8,GL_Alvar,CAR-NBA,CAR-NBA.1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021333333,NA,NA,208.3333333,NA,4.444444375,1.92,7.11,NA
9,GL_Alvar,CAR-NBA,CAR-NBA.1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.055555556,0.025333333,0.025333333,0.025333333,234.375,247.3958333,5.937499922,6.267361029,2.25,9.3,NA
10,GL_Alvar,CAR-NBA,CAR-NBA.1.6,NA,NA,NA,NA,NA,NA,NA,NA,0.714285714,0.023666667,0.024333333,0.024,364.5833333,260.4166667,8.628472344,6.336805469,1.33,4.67,NA
11,GL_Alvar,CAR-NBA,CAR-NBA.1.9,NA,NA,NA,NA,NA,NA,NA,NA,0.68,0.025333333,0.023,0.024166667,325.5208333,221.3541667,8.246527669,5.091145833,1.45,5.57,NA
12,GL_Alvar,CAR-NBA,CAR-NBA.10.1,NA,NA,NA,NA,NA,NA,NA,NA,0.352941176,0.024,0.028666667,0.026333333,442.7083333,156.25,10.625,4.479166719,1.05,4.83,NA
13,GL_Alvar,CAR-NBA,CAR-NBA.10.10,NA,NA,NA,NA,NA,NA,NA,NA,1,0.026,0.024,0.025,234.375,234.375,6.09375,5.625,1.6,4.69,NA
14,GL_Alvar,CAR-NBA,CAR-NBA.10.2,NA,NA,NA,NA,NA,NA,NA,NA,0.909090909,0.027,0.022666667,0.024833333,286.4583333,260.4166667,7.734375,5.902777865,1.2,4.23,NA
15,GL_Alvar,CAR-NBA,CAR-NBA.10.3,NA,NA,NA,NA,NA,NA,NA,NA,0.56,0.025,0.027,0.026,325.5208333,182.2916667,8.138020833,4.921875,1.21,5.01,NA
16,GL_Alvar,CAR-NBA,CAR-NBA.12.2,NA,NA,NA,NA,NA,NA,NA,NA,0.55,NA,0.024,NA,260.4166667,143.2291667,NA,3.4375,1.12,3.51,NA
17,GL_Alvar,CAR-NBA,CAR-NBA.12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024333333,NA,NA,169.2708333,NA,4.118923555,1.86,7.06,NA
18,GL_Alvar,CAR-NBA,CAR-NBA.12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.029,NA,NA,169.2708333,NA,4.908854167,1.38,5.33,NA
19,GL_Alvar,CAR-NBA,CAR-NBA.12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027333333,NA,NA,195.3125,NA,5.338541602,NA,1.66,5.26,NA
20,GL_Alvar,CAR-NBA,CAR-NBA.12.8,NA,NA,NA,NA,NA,NA,NA,NA,0.52,0.019666667,0.023666667,0.021666667,325.5208333,169.2708333,6.401909831,4.006076445,1.38,5.83,NA
21,GL_Alvar,CAR-NBA,CAR-NBA.21.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99,2.98,NA
22,GL_Alvar,CAR-NBA,CAR-NBA.21.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93,3.57,NA
23,GL_Alvar,CAR-NBA,CAR-NBA.21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.44,4.25,NA
24,GL_Alvar,CAR-NBA,CAR-NBA.21.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026333333,NA,NA,182.2916667,NA,4.800347161,1.04,3.29,NA
25,GL_Alvar,CAR-NBA,CAR-NBA.21.7,NA,NA,NA,NA,NA,NA,NA,NA,0.555555556,0.026,0.025333333,0.025666667,234.375,130.2083333,6.09375,3.298611068,1.04,3.83,NA
26,GL_Alvar,CAR-NBA,CAR-NBA.21.9,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333,0.027,NA,NA,156.25,130.2083333,4.21875,NA,1.26,4.2,NA
27,GL_Alvar,CAR-NBA,CAR-NBA.3.4,NA,NA,NA,NA,NA,NA,NA,NA,1.176470588,0.029333333,0.027,0.028166667,221.3541667,260.4166667,6.493055482,7.03125,1.4,6.65,NA
28,GL_Alvar,CAR-NBA,CAR-NBA.3.5,NA,NA,NA,NA,NA,NA,NA,NA,0.761904762,0.028666667,0.026666667,0.027666667,273.4375,208.3333333,7.838541758,5.555555625,1.55,6.53,NA
29,GL_Alvar,CAR-NBA,CAR-NBA.3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026,NA,NA,247.3958333,NA,6.432291667,NA,1.15,5.24,NA
30,GL_Alvar,CAR-NBA,CAR-NBA.3.7,NA,NA,NA,NA,NA,NA,NA,NA,0.941176471,0.027,0.024333333,0.025666667,221.3541667,208.3333333,5.9765625,5.069444375,1.12,3.98,NA
