Weather variable definitions,,
MAT,Mean annual temp *C,
MWMT,Mean Warmest Month Temp,
MCMT,mean coldest month temp,
TD ,temp diff betweeen mwmt and mcmt,or continetality
MAP,mean annual precipitation,
MSP,May to Sept precip (mm),
AHM,Annual heat-moisture index,(MAT+10)/(MAP/1000)
SHM,summer heat-moisture index,
DD<0,degree days subzero,
DD>5,degree days above 5*C,
DD<18,degree days below 18*C,
DD>18,degree days above 18*C,
NFFD,Number frost-free days,
FFP,frost free period,
bFFP,day of year FFP begins,
eFFP,day of year FFP ends,
PAS,Precipitation as snow,between August and July
EMT,extreme minimum temp over 30 yr,
EXT,extreme max temp over 30 yr,
Eref,Hargreaves reference evaporation (mm),
CMD,Hargreaves climatic moisture deficit (mm),
MAR,mean annual solar radiation  (MJ m?2 d?1),
RH,mean annual relative humidity (%),
,**Note: sourced from ClimateNA,
